Somalia,,,,,,,,,,,,,
Country / territory of residence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Sweden,7302,5560,4461,4258,2932,3486,4066,5332,6753,10636,15238,17602,19416
Switzerland,4814,4377,3894,3812,3747,3706,3541,3206,3070,3197,4092,4148,4135
Syrian Arab Republic,443,397,402,453,467,593,1322,2080,3358,2260,2762,2538,2217
Thailand,,,,4,9,14,17,17,123,122,122,142,136
Togo,,,3,3,3,3,3,3,3,1,1,1,*
Trinidad and Tobago,,,,,,,,,3,3,2,2,
Tunisia,36,,,,,,,,,,,953,510
Turkey,11,13,23,29,70,66,139,668,862,922,932,1105,1669
Uganda,1236,819,879,892,1089,1811,3752,4573,6085,8172,11151,14023,19000
Ukraine,5,5,6,13,24,25,21,21,20,20,28,33,112
United Arab Emirates,321,321,13,13,12,12,23,14,14,13,19,19,19
United Kingdom of Great Britain and Northern Ireland,26891,31366,34131,36106,36700,36319,34138,33659,31665,32299,23893,19668,15134
United Republic of Tanzania,2991,3424,3493,3330,2867,2663,2086,2059,1525,1447,1488,1530,2105
United States of America,34005,33750,28693,25421,31110,34207,72546,12224,10154,7112,4513,2996,2412
Uruguay,4,4,4,3,3,3,3,3,3,3,3,3,*
Yemen,56524,67485,80763,59246,63511,78582,91587,110616,132275,161468,179845,204685,226909
Zambia,699,940,941,987,1675,1693,1694,1725,1868,1927,2008,1842,2177
Zimbabwe,24,52,53,143,217,,,16,10,13,20,21,22
